1000 47978
9 605 29
9 622 37
9 625 21
9 627 30
9 636 27
9 657 15
9 660 15
9 676 -2
9 678 0
9 703 3
9 712 43
9 752 0
9 792 3
9 807 12
9 811 4
9 818 49
9 827 25
9 837 18
9 847 12
9 861 41
9 864 8
9 865 10
9 870 27
9 884 15
9 892 12
9 893 12
9 901 38
9 914 11
9 921 33
10 11 26
10 55 44
10 65 42
10 80 25
10 96 38
10 106 33
10 143 33
10 177 3
10 180 12
10 215 32
10 223 44
10 252 14
10 265 25
10 266 21
10 267 2
10 273 -2
10 279 23
10 281 2
10 319 33
10 355 35
10 356 6
10 446 8
10 450 40
10 454 1
10 505 11
10 537 48
10 585 12
10 609 -1
10 617 47
10 638 20
10 670 4
10 679 2
10 693 45
10 696 34
10 710 45
10 723 44
10 733 19
10 738 9
10 788 42
10 810 19
10 816 48
10 820 42
10 832 1
10 843 -1
10 845 39
10 854 31
10 859 12
10 863 31
10 882 5
10 916 32
10 934 31
10 947 30
10 954 45
10 962 11
10 981 50
11 30 14
11 81 36
11 89 13
11 99 48
11 106 15
11 109 35
11 118 49
11 121 37
11 129 19
11 145 45
11 146 43
11 154 0
11 178 32
11 190 25
11 199 -1
11 229 39
11 261 12
11 262 46
11 285 24
11 298 26
11 311 47
11 337 44
11 351 -2
11 353 48
11 358 45
11 403 45
11 411 7
11 459 29
11 464 8
11 470 38
11 484 5
11 485 -1
11 517 27
11 532 8
11 601 45
11 627 32
11 662 13
11 750 42
11 769 16
11 799 46
11 869 32
11 882 25
11 938 45
11 946 44
11 988 40
12 29 40
12 100 0
12 129 39
12 140 28
12 171 25
12 221 37
12 224 10
12 254 26
12 278 40
12 321 25
12 365 16
12 389 43
12 391 39
12 442 24
12 460 29
12 481 43
12 487 31
12 498 18
12 519 50
12 531 34
12 540 38
12 581 12
12 584 7
12 590 9
12 594 37
12 652 18
12 684 32
12 701 35
12 704 38
12 705 8
12 733 38
12 765 32
12 841 24
12 857 4
12 887 40
12 907 -2
12 946 50
12 967 3
12 969 46
12 976 5
12 991 19
13 62 14
13 64 6
13 86 15
13 102 48
13 108 6
13 120 2
13 123 22
13 124 31
13 130 21
13 156 40
13 157 45
13 210 36
13 225 19
13 227 26
13 234 -2
13 255 -2
13 286 19
13 370 4
13 376 15
13 425 43
13 500 2
13 508 50
13 513 27
13 522 46
13 530 -2
13 538 25
13 553 12
13 569 46
13 579 37
13 623 26
13 685 33
13 701 22
13 711 5
13 715 32
13 748 6
13 796 17
13 824 39
13 901 24
13 904 3
13 908 12
13 983 42
13 989 11
14 5 -1
14 6 39
14 41 6
14 64 17
14 69 28
14 114 26
14 115 38
14 141 39
14 157 10
14 176 9
14 180 36
14 192 37
14 221 32
14 248 1
14 315 6
14 334 42
14 341 -2
14 409 33
14 418 9
14 429 15
14 430 5
14 448 -2
14 465 9
14 499 49
14 516 39
14 570 26
14 586 22
14 612 21
14 628 39
14 629 48
14 654 11
14 656 17
14 667 48
14 682 33
14 726 3
14 727 9
14 738 40
14 745 16
14 750 47
14 787 4
14 810 5
14 825 47
14 842 16
14 852 37
14 861 23
14 911 33
14 925 38
14 933 0
14 959 1
15 14 15
15 62 14
15 72 7
15 82 0
15 138 31
15 169 5
15 170 28
15 269 -1
15 271 33
15 277 5
15 322 27
15 346 21
15 365 44
15 373 24
15 416 16
15 441 9
15 503 28
15 540 18
15 562 34
15 571 43
15 597 6
15 616 32
15 619 46
15 624 12
15 638 9
15 639 15
15 662 42
15 670 16
15 681 -1
15 723 29
15 725 42
15 728 1
15 787 10
15 800 14
15 817 20
15 821 7
15 843 28
15 849 41
15 855 19
15 888 8
15 889 46
15 967 3
16 18 0
16 26 34
16 75 36
16 101 2
16 130 28
16 141 5
16 167 36
16 177 8
16 184 50
16 189 19
16 197 15
16 239 35
16 300 -2
16 319 20
16 332 -1
16 333 37
16 334 41
16 343 6
16 412 18
16 429 11
16 442 -2
16 443 32
16 449 38
16 454 4
16 497 6
16 517 24
16 522 8
16 580 19
16 613 33
16 648 35
16 651 23
16 655 43
16 691 43
16 703 17
16 721 41
16 726 26
16 732 19
16 742 49
16 749 38
16 758 36
16 803 -2
16 809 1
16 810 30
16 869 50
16 895 9
16 902 35
16 903 39
16 918 12
16 944 35
16 952 32
16 969 26
16 974 34
16 984 24
17 3 26
17 14 39
17 23 33
17 28 23
17 78 38
17 91 38
17 95 10
17 96 11
17 99 20
17 115 27
17 123 18
17 138 37
17 196 1
17 200 2
17 212 13
17 217 3
17 230 10
17 236 39
17 257 34
17 268 4
17 271 22
17 282 44
17 298 -2
17 330 49
17 362 19
17 381 3
17 385 45
17 386 35
17 399 8
17 400 49
17 413 41
17 446 2
17 459 26
17 468 42
17 490 5
17 515 18
17 537 14
17 555 16
17 560 23
17 565 40
17 596 24
17 597 23
17 608 23
17 647 36
17 666 36
17 701 43
17 704 44
17 794 31
17 807 39
17 859 47
17 877 11
17 885 43
17 896 15
17 917 49
17 944 11
17 964 -1
17 978 1
18 36 18
18 41 50
18 47 5
18 92 48
18 96 12
18 102 39
18 167 31
18 177 3
18 185 27
18 230 16
18 246 25
18 252 1
18 270 1
18 283 15
18 322 41
18 405 44
18 414 17
18 436 7
18 447 41
18 472 11
18 486 31
18 490 49
18 499 14
18 513 30
18 524 26
18 531 28
18 542 11
18 553 16
18 595 31
18 602 43
18 642 -2
18 664 27
18 686 6
18 737 37
18 784 9
18 802 26
18 813 -2
18 835 28
18 881 -1
18 905 20
18 906 29
18 916 35
18 936 20
18 946 -1
18 968 45
19 7 23
19 67 18
19 125 50
19 152 6
19 223 7
19 285 0
19 286 2
19 290 32
19 312 3
19 323 23
19 332 -1
19 343 -1
19 346 16
19 349 20
19 389 45
19 395 17
19 406 0
19 461 34
19 477 31
19 491 11
19 498 45
19 515 24
19 516 35
19 578 26
19 622 21
19 631 45
19 664 16
19 672 5
19 682 9
19 691 19
19 716 15
19 717 1
19 744 36
19 747 20
19 764 26
19 802 15
19 805 16
19 820 42
19 839 2
19 854 19
19 857 17
19 866 47
19 885 36
20 2 17
20 35 50
20 40 18
20 51 25
20 77 15
20 82 30
20 89 49
20 129 15
20 143 21
20 153 35
20 195 14
20 210 6
20 220 39
20 223 13
20 228 41
20 254 15
20 286 42
20 312 1
20 319 21
20 330 22
20 336 17
20 338 41
20 348 28
20 353 36
20 359 11
20 404 29
20 408 14
20 411 10
20 415 28
20 432 30
20 518 31
20 519 50
20 523 18
20 548 49
20 565 36
20 642 0
20 660 25
20 671 10
20 761 14
20 784 17
20 792 0
20 870 11
20 876 5
20 881 4
20 937 16
20 959 5
20 982 37
20 983 17
20 994 3
21 25 5
21 30 10
21 43 41
21 66 7
21 71 31
21 72 33
21 135 25
21 157 27
21 159 13
21 165 49
21 170 28
21 179 29
21 240 22
21 266 48
21 271 3
21 283 20
21 299 17
21 301 30
21 343 10
21 365 14
21 370 42
21 382 19
21 448 35
21 580 48
21 606 17
21 608 13
21 618 20
21 629 12
21 635 1
21 639 16
21 653 34
21 660 29
21 723 24
21 728 49
21 749 30
21 755 10
21 786 19
21 806 50
21 809 37
21 813 45
21 820 18
21 843 4
21 848 32
21 862 1
21 871 8
21 872 34
21 883 28
21 917 40
21 938 35
21 946 31
21 954 -1
21 964 11
22 1 30
22 5 21
22 30 7
22 40 48
22 42 31
22 49 25
22 79 12
22 83 14
22 87 16
22 95 15
22 97 9
22 101 -1
22 106 31
22 156 28
22 158 43
22 189 40
22 248 14
22 260 43
22 286 4
22 307 34
22 324 24
22 333 20
22 341 11
22 364 26
22 389 45
22 396 38
22 417 26
22 466 13
22 473 8
22 485 22
22 486 46
22 502 42
22 527 11
22 548 29
22 571 38
22 578 32
22 579 7
22 616 16
22 625 4
22 643 28
22 661 36
22 692 33
22 762 38
22 781 15
22 814 32
22 818 19
22 825 49
22 839 2
22 871 45
22 892 21
22 902 12
22 910 33
22 951 48
22 952 9
22 979 50
22 993 38
23 16 0
23 44 39
23 50 0
23 61 24
23 90 44
23 145 0
23 148 1
23 164 24
23 171 18
23 190 13
23 193 28
23 197 2
23 203 10
23 221 -1
23 226 36
23 274 44
23 299 22
23 312 34
23 335 30
23 351 50
23 379 17
23 382 5
23 387 -1
23 426 -2
23 502 49
23 519 13
23 522 33
23 615 28
23 627 10
23 645 25
23 777 39
23 790 29
23 842 24
23 858 28
23 871 25
23 895 13
23 910 34
23 937 8
23 942 5
23 987 33
24 2 11
24 11 50
24 27 20
24 39 2
24 41 20
24 102 2
24 144 26
24 147 12
24 175 47
24 181 2
24 188 29
24 191 35
24 196 29
24 203 34
24 221 -2
24 237 2
24 302 6
24 325 31
24 361 8
24 378 -1
24 401 24
24 403 25
24 447 36
24 475 7
24 486 50
24 499 40
24 505 23
24 523 20
24 537 21
24 540 19
24 552 46
24 560 44
24 594 44
24 595 44
24 630 35
24 668 4
24 673 44
24 677 25
24 690 50
24 694 37
24 732 7
24 776 10
24 786 38
24 816 13
24 819 32
24 832 13
24 851 40
24 866 2
24 872 18
24 880 -2
24 925 47
24 996 39
25 21 1
25 27 16
25 37 10
25 55 17
25 87 43
25 183 8
25 192 4
25 211 -1
25 221 28
25 237 30
25 239 17
25 243 48
25 283 37
25 290 35
25 331 31
25 342 41
25 368 20
25 392 22
25 397 40
25 419 31
25 423 7
25 434 45
25 440 4
25 449 42
25 450 29
25 454 39
25 469 34
25 488 30
25 510 20
25 536 18
25 539 47
25 548 0
25 564 40
25 598 1
25 604 2
25 681 26
25 685 26
25 706 43
25 709 45
25 789 6
25 792 11
25 812 19
25 872 15
25 883 38
25 932 33
25 948 22
25 949 24
25 963 23
25 971 7
25 982 -1
25 997 46
26 13 34
26 43 33
26 46 3
26 69 8
26 70 21
26 71 -1
26 112 5
26 116 33
26 129 38
26 135 -2
26 147 16
26 164 24
26 173 30
26 175 42
26 219 37
26 234 21
26 282 5
26 315 3
26 331 25
26 357 26
26 380 47
26 393 23
26 408 22
26 471 49
26 475 48
26 485 9
26 489 50
26 504 28
26 537 13
26 563 33
26 567 50
26 581 15
26 596 26
26 656 11
26 665 34
26 677 10
26 741 48
26 794 14
26 805 10
26 837 12
26 838 24
26 853 9
26 867 26
26 888 39
26 889 11
26 917 13
26 942 46
26 952 2
26 994 36
26 995 50
27 11 38
27 17 8
27 47 46
27 57 43
27 77 49
27 116 20
27 126 38
27 133 5
27 148 21
27 160 13
27 165 49
27 202 36
27 213 40
27 221 48
27 222 3
27 226 4
27 232 19
27 249 44
27 260 10
27 294 14
27 321 9
27 326 34
27 365 47
27 381 38
27 407 30
27 467 29
27 472 24
27 524 8
27 609 40
27 641 11
27 675 16
27 705 25
27 722 39
27 725 17
27 733 22
27 760 48
27 765 40
27 800 35
27 810 45
27 814 23
27 841 5
27 861 43
27 877 40
27 891 47
27 922 20
27 935 -1
27 955 20
27 972 44
27 997 37
28 60 44
28 85 11
28 146 31
28 156 13
28 164 1
28 171 22
28 179 40
28 193 15
28 200 11
28 207 44
28 213 10
28 217 36
28 220 1
28 234 28
28 238 4
28 347 19
28 365 21
28 441 22
28 471 49
28 487 28
28 514 44
28 546 6
28 635 15
28 639 38
28 643 35
28 646 12
28 698 -2
28 736 31
28 825 2
28 839 16
28 841 34
28 846 24
28 894 15
28 904 42
28 951 17
28 957 36
28 970 50
28 982 11
29 24 26
29 81 31
29 135 14
29 152 14
29 176 29
29 204 16
29 206 7
29 215 -2
29 217 22
29 257 24
29 316 25
29 319 33
29 337 47
29 344 24
29 388 33
29 390 40
29 399 1
29 416 36
29 424 31
29 455 43
29 466 14
29 471 16
29 476 38
29 507 6
29 509 7
29 524 12
29 534 15
29 595 26
29 609 38
29 617 12
29 622 8
29 712 0
29 756 38
29 762 40
29 777 45
29 800 39
29 818 11
29 841 22
29 877 40
29 903 23
29 924 8
29 953 42
29 961 16
29 983 33
29 1000 9
30 65 32
30 78 5
30 110 0
30 117 35
30 131 18
30 145 30
30 146 43
30 208 38
30 215 41
30 244 24
30 262 19
30 266 5
30 274 33
30 275 49
30 317 24
30 318 31
30 324 21
30 346 21
30 378 6
30 379 42
30 380 20
30 395 2
30 454 3
30 471 4
30 479 24
30 503 28
30 515 32
30 543 7
30 566 48
30 567 25
30 585 34
30 598 34
30 606 6
30 628 44
30 638 10
30 645 9
30 676 50
30 695 15
30 734 36
30 758 25
30 813 16
30 852 48
30 878 41
30 885 3
30 893 0
30 898 6
30 915 32
30 948 44
31 21 33
31 102 19
31 115 14
31 143 38
31 153 39
31 154 8
31 159 29
31 165 10
31 185 17
31 212 0
31 217 17
31 262 37
31 292 43
31 293 0
31 303 28
31 352 7
31 356 19
31 365 45
31 403 17
31 466 3
31 500 18
31 542 -1
31 547 30
31 555 25
31 566 42
31 567 9
31 608 33
31 612 9
31 658 42
31 674 36
31 736 34
31 763 40
31 765 3
31 766 6
31 772 -1
31 791 21
31 825 17
31 853 21
31 864 33
31 894 45
31 903 10
31 932 43
31 982 48
31 989 18
32 20 13
32 34 44
32 60 37
32 167 5
32 178 24
32 188 34
32 189 41
32 192 27
32 207 5
32 224 21
32 226 19
32 241 26
32 242 14
32 268 30
32 292 10
32 295 38
32 313 19
32 348 31
32 350 17
32 352 6
32 372 14
32 378 39
32 400 42
32 419 33
32 445 2
32 466 -2
32 467 31
32 477 41
32 494 25
32 498 3
32 511 17
32 514 1
32 515 1
32 548 1
32 599 23
32 620 38
32 649 48
32 673 25
32 687 30
32 715 17
32 729 38
32 783 44
32 832 10
32 844 25
32 860 41
32 867 34
32 873 -2
32 879 3
32 889 22
32 893 37
32 920 40
32 922 47
32 928 42
32 930 30
32 968 14
32 975 7
32 988 -2
33 52 40
33 66 17
33 78 44
33 91 12
33 127 2
33 128 -2
33 167 6
33 175 35
33 176 18
33 178 26
33 200 7
33 202 27
33 269 19
33 304 35
33 355 -2
33 386 40
33 403 11
33 413 42
33 422 45
33 424 46
33 427 1
33 459 20
33 576 44
33 597 21
33 626 10
33 635 5
33 669 40
33 670 -2
33 678 16
33 707 11
33 747 40
33 759 -2
33 765 46
33 771 30
33 802 0
33 818 40
33 839 44
33 855 1
33 861 18
33 920 0
33 947 23
33 975 7
33 977 4
33 980 50
33 987 45
33 992 48
34 65 45
34 80 17
34 138 13
34 163 15
34 165 45
34 175 48
34 245 47
34 337 13
34 371 23
34 379 31
34 408 8
34 427 30
34 432 9
34 452 40
34 472 -2
34 481 33
34 485 39
34 498 39
34 507 3
34 531 17
34 540 39
34 585 39
34 625 18
34 649 47
34 714 21
34 742 26
34 743 20
34 761 -2
34 793 8
34 805 2
34 808 34
34 893 13
34 922 38
34 993 20
35 122 19
35 155 24
35 183 46
35 192 48
35 221 -2
35 239 5
35 244 17
35 262 33
35 298 48
35 327 14
35 346 30
35 371 32
35 390 30
35 394 2
35 398 48
35 406 0
35 408 48
35 421 3
35 449 14
35 469 26
35 524 21
35 544 43
35 556 22
35 581 46
35 591 8
35 598 28
35 610 4
35 633 0
35 674 6
35 690 38
35 706 2
35 735 37
35 746 30
35 755 15
35 757 36
35 828 0
35 853 17
35 884 50
35 892 26
35 913 29
35 994 24
36 10 30
36 17 19
36 61 21
36 77 17
36 78 13
36 94 26
36 182 36
36 193 8
36 222 38
36 239 2
36 241 29
36 246 35
36 258 1
36 269 21
36 275 13
36 309 7
36 343 1
36 347 7
36 349 0
36 357 12
36 367 37
36 418 29
36 489 9
36 490 14
36 514 20
36 515 -2
36 522 47
36 528 21
36 545 50
36 557 31
36 561 39
36 567 30
36 571 34
36 579 25
36 597 32
36 610 5
36 639 2
36 652 27
36 662 22
36 700 -2
36 719 8
36 730 -2
36 740 6
36 767 1
36 795 23
36 875 28
36 881 41
36 894 30
36 941 25
36 947 25
36 960 46
36 968 2
36 981 21
37 14 3
37 54 13
37 60 29
37 105 49
37 126 22
37 130 8
37 139 7
37 143 29
37 149 8
37 190 3
37 206 3
37 211 32
37 249 32
37 257 8
37 267 49
37 279 24
37 284 16
37 293 22
37 299 45
37 312 48
37 332 9
37 335 21
37 357 43
37 359 14
37 360 38
37 373 21
37 387 3
37 408 47
37 425 26
37 454 28
37 482 31
37 483 12
37 523 47
37 527 40
37 567 45
37 619 2
37 626 9
37 636 17
37 645 38
37 651 33
37 659 19
37 663 46
37 712 41
37 714 13
37 721 14
37 723 15
37 736 46
37 757 22
37 764 40
37 787 41
37 814 32
37 911 30
37 915 10
37 922 13
37 986 16
38 74 38
38 101 43
38 121 30
38 129 17
38 164 25
38 196 33
38 215 48
38 222 23
38 234 50
38 235 34
38 250 9
38 258 29
38 283 12
38 294 20
38 301 13
38 336 24
38 348 0
38 393 21
38 436 18
38 446 41
38 474 15
38 482 39
38 490 18
38 515 30
38 523 45
38 524 18
38 536 42
38 542 13
38 559 7
38 563 38
38 593 30
38 616 5
38 630 0
38 667 4
38 701 28
38 702 4
38 736 49
38 766 40
38 767 14
38 769 18
38 771 25
38 777 46
38 790 42
38 815 0
38 861 8
38 895 33
38 896 40
38 959 4
38 960 27
39 10 42
39 12 35
39 17 36
39 22 0
39 31 -2
39 34 37
39 53 49
39 58 35
39 73 50
39 98 4
39 107 34
39 124 14
39 128 0
39 138 7
39 147 25
39 157 50
39 166 27
39 249 16
39 268 24
39 311 23
39 320 50
39 324 11
39 344 10
39 377 11
39 384 11
39 401 41
39 407 41
39 411 25
39 447 49
39 461 41
39 469 29
39 494 -1
39 503 34
39 518 50
39 524 5
39 533 12
39 535 19
39 563 27
39 597 -1
39 622 7
39 652 43
39 695 24
39 733 50
39 740 29
39 758 19
39 784 6
39 805 45
39 868 48
39 889 24
39 898 16
39 918 40
39 921 23
39 957 13
39 962 40
40 34 45
40 52 38
40 69 22
40 121 41
40 221 41
40 230 11
40 231 21
40 287 2
40 304 13
40 306 1
40 323 2
40 333 35
40 358 35
40 375 -1
40 385 19
40 397 35
40 426 14
40 470 46
40 535 15
40 538 1
40 589 9
40 604 5
40 612 40
40 614 15
40 634 17
40 647 19
40 675 34
40 677 6
40 678 20
40 771 17
40 783 29
40 793 36
40 796 11
40 801 40
40 807 10
40 817 8
40 843 2
40 848 15
40 883 49
40 902 33
40 917 1
40 928 26
40 941 -2
40 964 31
40 976 11
41 1 47
41 57 7
41 62 9
41 77 0
41 102 49
41 126 7
41 142 50
41 148 1
41 169 33
41 170 35
41 186 4
41 200 2
41 213 28
41 231 49
41 328 3
41 367 8
41 369 35
41 381 40
41 390 48
41 396 13
41 471 19
41 502 26
41 503 12
41 511 37
41 512 13
41 526 17
41 565 30
41 585 37
41 590 24
41 595 21
41 598 29
41 608 37
41 621 1
41 669 23
41 681 3
41 687 40
41 688 30
41 705 8
41 709 41
41 724 0
41 726 33
41 730 6
41 732 7
41 750 13
41 795 38
41 798 8
41 808 44
41 890 28
41 891 28
41 902 29
41 904 16
41 918 22
41 929 7
41 986 8
41 988 32
42 20 48
42 22 30
42 48 5
42 60 43
42 67 20
42 87 49
42 90 45
42 105 35
42 111 20
42 151 28
42 160 1
42 164 40
42 179 21
42 192 40
42 210 12
42 228 24
42 247 4
42 254 17
42 256 10
42 282 26
42 292 15
42 311 26
42 316 12
42 331 5
42 361 27
42 374 50
42 383 49
42 392 27
42 408 23
42 427 13
42 448 48
42 476 37
42 485 31
42 530 -1
42 544 34
42 560 38
42 572 43
42 584 47
42 596 32
42 625 42
42 643 22
42 668 22
42 696 38
42 706 10
42 717 -2
42 733 27
42 737 30
42 743 50
42 757 20
42 759 31
42 768 1
42 769 7
42 783 25
42 823 21
42 842 36
42 881 11
42 919 37
42 928 20
42 936 23
42 960 48
42 970 47
43 1 9
43 52 5
43 53 28
43 73 44
43 100 42
43 119 30
43 146 27
43 154 3
43 189 3
43 195 -2
43 224 9
43 245 10
43 261 39
43 262 47
43 289 38
43 325 20
43 340 39
43 349 13
43 403 40
43 420 17
43 455 45
43 476 46
43 478 0
43 498 37
43 507 50
43 520 14
43 538 43
43 589 25
43 616 33
43 618 9
43 627 18
43 661 39
43 663 25
43 672 49
43 715 50
43 776 44
43 787 37
43 839 11
43 847 25
43 864 28
43 888 3
43 939 43
43 942 25
43 947 15
43 957 0
43 977 23
43 982 2
43 988 49
43 993 19
44 39 20
44 66 16
44 71 22
44 82 27
44 86 2
44 97 19
44 107 35
44 111 37
44 116 4
44 158 19
44 166 32
44 180 32
44 216 43
44 224 47
44 245 24
44 252 0
44 254 13
44 283 47
44 310 14
44 355 11
44 359 38
44 367 20
44 378 4
44 430 3
44 432 20
44 446 12
44 504 48
44 510 2
44 512 36
44 520 5
44 534 27
44 542 20
44 601 6
44 609 38
44 615 9
44 628 40
44 634 33
44 647 42
44 662 9
44 677 -2
44 711 9
44 715 10
44 749 20
44 766 31
44 779 -1
44 791 3
44 794 0
44 798 26
44 799 13
44 807 16
44 860 33
44 872 30
44 914 16
44 917 33
44 923 1
44 928 45
44 992 26
45 18 33
45 46 3
45 75 23
45 79 7
45 96 22
45 109 4
45 114 9
45 116 28
45 118 2
45 133 28
45 135 44
45 154 27
45 214 0
45 227 10
45 243 48
45 284 33
45 310 2
45 318 20
45 320 49
45 333 3
45 343 44
45 344 40
45 381 38
45 395 44
45 404 -1
45 414 22
45 417 19
45 540 36
45 554 48
45 560 50
45 570 4
45 571 9
45 609 9
45 615 49
45 620 50
45 624 30
45 640 23
45 641 50
45 686 48
45 788 45
45 830 0
45 895 25
45 896 45
45 905 12
45 909 48
45 934 2
45 941 -2
45 965 40
45 999 17
46 24 38
46 25 4
46 82 -2
46 100 21
46 102 21
46 110 22
46 168 6
46 175 42
46 231 4
46 236 36
46 259 -1
46 263 30
46 270 23
46 275 34
46 278 40
46 323 49
46 332 18
46 393 25
46 403 7
46 426 43
46 447 24
46 478 42
46 479 19
46 503 1
46 513 30
46 577 35
46 636 49
46 704 21
46 712 12
46 713 24
46 727 26
46 739 20
46 758 14
46 771 38
46 807 46
46 808 2
46 839 -2
46 907 38
46 908 12
46 945 14
46 950 32
46 992 41
47 16 3
47 27 20
47 104 45
47 121 45
47 126 41
47 144 22
47 146 32
47 214 43
47 236 29
47 237 -1
47 252 49
47 253 47
47 256 31
47 292 13
47 311 40
47 313 24
47 333 16
47 353 20
47 367 18
47 393 30
47 431 -1
47 468 38
47 480 49
47 482 28
47 484 11
47 516 17
47 524 2
47 547 27
47 561 46
